item_id,store_id,avg_daily_demand,demand_std,lead_time_demand,safety_stock,reorder_point,order_up_to
FOODS_1_001,CA_1,0.7278206036744389,1.0459450008165405,5.1,4.6,9.7,19.9
FOODS_1_001,CA_2,1.1455251002394007,1.7636571485277805,8.0,7.7,15.7,31.8
FOODS_1_001,CA_3,1.2164802550176985,2.5777013337997534,8.5,11.3,19.8,36.8
FOODS_1_001,CA_4,0.3723111342190789,0.6488243792477919,2.6,2.8,5.4,10.7
FOODS_1_001,TX_1,0.4620641605396142,2.437465404960221,3.2,10.6,13.9,20.3
FOODS_1_001,TX_2,0.7958286705160196,1.1921051904396762,5.6,5.2,10.8,21.9
FOODS_1_001,TX_3,0.37133429013820657,0.77688013822813,2.6,3.4,6.0,11.2
FOODS_1_001,WI_1,0.4164583347845772,0.9249851586344001,2.9,4.0,7.0,12.8
FOODS_1_001,WI_2,0.2954464163528426,0.5983760103709331,2.1,2.6,4.7,8.8
FOODS_1_001,WI_3,0.23717804447242888,0.47977517959666766,1.7,2.1,3.8,7.1
FOODS_1_002,CA_1,0.4612791933328794,0.778216654937254,3.2,3.4,6.6,13.1
FOODS_1_002,CA_2,0.7881247897060674,1.037601973521559,5.5,4.5,10.0,21.1
FOODS_1_002,CA_3,0.366617630663315,0.47283304787921226,2.6,2.1,4.6,9.8
FOODS_1_002,CA_4,0.43497246637243897,0.5877026680853455,3.0,2.6,5.6,11.7
FOODS_1_002,TX_1,0.0899407457439864,0.2995824522983326,0.6,1.3,1.9,3.2
FOODS_1_002,TX_2,0.16878501875085128,0.33761227772528507,1.2,1.5,2.7,5.0
FOODS_1_002,TX_3,0.3583069733256602,0.6649324001995573,2.5,2.9,5.4,10.4
FOODS_1_002,WI_1,1.0357272971101035,1.104826872644202,7.3,4.8,12.1,26.6
FOODS_1_002,WI_2,0.6044512044958683,0.8565786432840674,4.2,3.7,8.0,16.4
FOODS_1_002,WI_3,0.1924713562187414,0.41260260171718305,1.3,1.8,3.1,5.8
FOODS_1_003,CA_1,0.7950152655181961,1.1205977216025564,5.6,4.9,10.5,21.6
FOODS_1_003,CA_2,1.0768443702376609,1.5486444008863969,7.5,6.8,14.3,29.4
FOODS_1_003,CA_3,0.7779004379060405,0.979043521169454,5.4,4.3,9.7,20.6
FOODS_1_003,CA_4,0.3452129133788956,0.5194379433993874,2.4,2.3,4.7,9.5
FOODS_1_003,TX_1,0.44211172880044447,0.544825792406894,3.1,2.4,5.5,11.7
FOODS_1_003,TX_2,0.4857398281185971,0.741253518345839,3.4,3.2,6.6,13.4
FOODS_1_003,TX_3,0.12413714852134419,0.5512042898120688,0.9,2.4,3.3,5.0
FOODS_1_003,WI_1,1.5765403591941944,1.4032151488268019,11.0,6.1,17.2,39.2
FOODS_1_003,WI_2,0.29079974663812547,0.3621173236257972,2.0,1.6,3.6,7.7
FOODS_1_003,WI_3,0.40882114319544943,0.6803816762074412,2.9,3.0,5.8,11.6
FOODS_1_004,CA_1,0.1494072704506098,6.1284047924360205,1.0,26.8,27.8,29.9
FOODS_1_004,CA_2,0.1502497524278086,3.133044204860176,1.1,13.7,14.7,16.8
FOODS_1_004,CA_3,0.4963200266172153,6.3960899723456865,3.5,27.9,31.4,38.3
FOODS_1_004,CA_4,0.12313208944107767,2.134893540636995,0.9,9.3,10.2,11.9
FOODS_1_004,TX_1,0.24139375360862597,5.120987778181045,1.7,22.4,24.0,27.4
FOODS_1_004,TX_2,0.14948722860057187,2.6748977439300017,1.0,11.7,12.7,14.8
FOODS_1_004,TX_3,0.18018538838381076,4.305926313477704,1.3,18.8,20.1,22.6
FOODS_1_004,WI_1,0.14283532079297212,5.059947665995856,1.0,22.1,23.1,25.1
FOODS_1_004,WI_2,0.32821868893950257,7.222063109649098,2.3,31.5,33.8,38.4
FOODS_1_004,WI_3,0.1469053072711144,5.1338439136951015,1.0,22.4,23.4,25.5
FOODS_1_005,CA_1,1.3493734408152527,2.3893659070732136,9.4,10.4,19.9,38.8
FOODS_1_005,CA_2,4.1279855071195195,4.157123065006594,28.9,18.1,47.0,104.8
FOODS_1_005,CA_3,2.863252907055848,3.194941679939472,20.0,13.9,34.0,74.1
FOODS_1_005,CA_4,0.6954810260819146,1.2708162809153,4.9,5.5,10.4,20.2
FOODS_1_005,TX_1,0.8435210250137489,1.8320224053020147,5.9,8.0,13.9,25.7
FOODS_1_005,TX_2,0.8616384916295018,1.256687354982114,6.0,5.5,11.5,23.6
FOODS_1_005,TX_3,0.902073225846019,1.2276341060538836,6.3,5.4,11.7,24.3
FOODS_1_005,WI_1,2.9348964013714425,1.9396784232060504,20.5,8.5,29.0,70.1
FOODS_1_005,WI_2,2.741507987965783,2.407122167238575,19.2,10.5,29.7,68.1
FOODS_1_005,WI_3,1.8785630700369755,1.426319839765752,13.1,6.2,19.4,45.7
FOODS_1_006,CA_1,1.980110911073266,1.9187560920956526,13.9,8.4,22.2,50.0
FOODS_1_006,CA_2,1.138020789355714,1.1519632663539294,8.0,5.0,13.0,28.9
FOODS_1_006,CA_3,1.520855962283343,1.8718636183661652,10.6,8.2,18.8,40.1
FOODS_1_006,CA_4,1.5608318491468849,1.6662619568462984,10.9,7.3,18.2,40.1
FOODS_1_006,TX_1,0.6124702074762902,1.276953152178191,4.3,5.6,9.9,18.4
FOODS_1_006,TX_2,0.5746463207494152,1.0256051130420367,4.0,4.5,8.5,16.5
FOODS_1_006,TX_3,0.43401261666579544,1.8910949109472732,3.0,8.3,11.3,17.4
